customer_id,total_revenue,total_orders,first_purchase,last_purchase,days_active,avg_order_value,purchase_frequency,clv,acquisition_channel,gender,age_group,city,state
C0001,997.5,1,2024-05-23,2024-05-23,1,997.5,1,997.5,YouTube,Female,35-44,Hyderabad,Telangana
C0002,1226.3000000000002,2,2025-04-04,2025-09-29,179,613.15,2,1226.3,Instagram,Female,25-34,Gurugram,Haryana
C0003,1854.3,3,2024-01-10,2024-12-22,348,618.1,3,1854.3,Google Search,Other,18-24,Noida,Uttar Pradesh
C0004,713.05,1,2025-09-30,2025-09-30,1,713.05,1,713.05,YouTube,Other,25-34,Kochi,Kerala
C0005,2047.25,1,2024-05-21,2024-05-21,1,2047.25,1,2047.25,Google Search,Male,18-24,Lucknow,Uttar Pradesh
C0006,3291.05,3,2024-06-10,2025-10-23,501,1097.02,3,3291.05,Google Search,Male,25-34,Indore,Madhya Pradesh
C0007,1682.1,2,2024-10-18,2024-11-11,25,841.05,2,1682.1,Google Search,Female,25-34,Bhopal,Madhya Pradesh
C0008,1740.55,2,2024-05-27,2024-10-22,149,870.28,2,1740.55,Website Direct,Female,25-34,Bengaluru,Karnataka
C0009,419.05,1,2024-06-03,2024-06-03,1,419.05,1,419.05,Google Search,Male,25-34,Bhopal,Madhya Pradesh
C0010,2276.9,3,2024-05-25,2025-10-18,512,758.97,3,2276.9,YouTube,Other,45+,Jaipur,Rajasthan
C0011,943.7,2,2025-04-05,2025-10-19,198,471.85,2,943.7,Website Direct,Other,18-24,Gurugram,Haryana
C0012,998.05,2,2024-10-27,2025-07-15,262,499.02,2,998.05,Referral,Female,25-34,Gurugram,Haryana
C0013,1906.1,1,2024-08-20,2024-08-20,1,1906.1,1,1906.1,Instagram,Male,18-24,Bhopal,Madhya Pradesh
C0014,699.0,1,2024-06-02,2024-06-02,1,699.0,1,699.0,Instagram,Male,35-44,Chandigarh,Chandigarh
C0015,1461.35,2,2024-09-02,2025-01-22,143,730.68,2,1461.35,Google Search,Other,25-34,Pune,Maharashtra
C0016,744.65,2,2025-02-18,2025-07-22,155,372.32,2,744.65,Instagram,Male,25-34,Vadodara,Gujarat
C0018,1817.4,2,2024-05-27,2025-10-22,514,908.7,2,1817.4,Website Direct,Male,25-34,Bhopal,Madhya Pradesh
C0019,799.0,1,2025-04-08,2025-04-08,1,799.0,1,799.0,Referral,Other,35-44,Mumbai,Maharashtra
C0020,3361.0,2,2024-10-23,2024-11-24,33,1680.5,2,3361.0,Website Direct,Female,25-34,Lucknow,Uttar Pradesh
C0022,4224.9,5,2024-03-12,2025-08-13,520,844.98,5,4224.9,Referral,Other,25-34,Surat,Gujarat
C0024,822.25,1,2025-01-31,2025-01-31,1,822.25,1,822.25,Website Direct,Male,18-24,Indore,Madhya Pradesh
C0025,2416.3,2,2024-01-01,2024-11-08,313,1208.15,2,2416.3,Referral,Other,25-34,Bengaluru,Karnataka
C0026,1228.35,3,2024-06-14,2025-06-03,355,409.45,3,1228.35,Google Search,Other,25-34,Ahmedabad,Gujarat
C0027,638.0,1,2025-12-01,2025-12-01,1,638.0,1,638.0,YouTube,Male,45+,Coimbatore,Tamil Nadu
C0028,698.2,1,2025-05-15,2025-05-15,1,698.2,1,698.2,Google Search,Other,25-34,Bhopal,Madhya Pradesh
C0029,669.1,1,2025-01-23,2025-01-23,1,669.1,1,669.1,Instagram,Female,18-24,Pune,Maharashtra
C0030,489.0,1,2024-04-24,2024-04-24,1,489.0,1,489.0,Instagram,Female,18-24,Pune,Maharashtra
C0031,328.2,1,2024-08-08,2024-08-08,1,328.2,1,328.2,Instagram,Male,18-24,Delhi,Delhi
C0032,1069.8,1,2024-08-28,2024-08-28,1,1069.8,1,1069.8,Instagram,Other,45+,Ahmedabad,Gujarat
C0033,1909.9499999999998,3,2024-08-16,2025-06-21,310,636.65,3,1909.95,Google Search,Male,18-24,Chandigarh,Chandigarh
C0034,1135.4,2,2024-06-01,2024-06-20,20,567.7,2,1135.4,Instagram,Male,35-44,Nagpur,Maharashtra
C0036,675.55,1,2024-11-12,2024-11-12,1,675.55,1,675.55,Instagram,Male,25-34,Chennai,Tamil Nadu
C0038,1447.5,2,2024-06-06,2024-07-27,52,723.75,2,1447.5,Website Direct,Male,35-44,Kolkata,West Bengal
C0039,699.0,1,2025-06-27,2025-06-27,1,699.0,1,699.0,Instagram,Male,25-34,Jaipur,Rajasthan
C0043,2933.5,3,2024-05-27,2025-01-21,240,977.83,3,2933.5,Google Search,Male,18-24,Pune,Maharashtra
C0044,1477.4,1,2024-05-07,2024-05-07,1,1477.4,1,1477.4,Instagram,Female,25-34,Coimbatore,Tamil Nadu
C0045,699.0,1,2024-03-23,2024-03-23,1,699.0,1,699.0,Google Search,Female,25-34,Jaipur,Rajasthan
C0046,3662.95,3,2024-03-06,2025-01-22,323,1220.98,3,3662.95,YouTube,Male,25-34,Surat,Gujarat
C0047,3302.8,6,2024-01-04,2025-08-18,593,550.47,6,3302.8,Instagram,Female,18-24,Vadodara,Gujarat
C0048,3433.15,2,2024-12-14,2025-09-23,284,1716.58,2,3433.15,Google Search,Female,35-44,Indore,Madhya Pradesh
C0049,2193.4,3,2024-12-01,2025-04-10,131,731.13,3,2193.4,YouTube,Other,25-34,Gurugram,Haryana
C0050,4046.7999999999997,3,2024-05-14,2024-10-24,164,1348.93,3,4046.8,Instagram,Male,45+,Gurugram,Haryana
C0051,458.0,1,2025-07-03,2025-07-03,1,458.0,1,458.0,Instagram,Other,25-34,Hyderabad,Telangana
C0052,3015.9,4,2024-08-24,2025-08-15,357,753.98,4,3015.9,Instagram,Female,25-34,Lucknow,Uttar Pradesh
C0053,398.15,1,2024-10-27,2024-10-27,1,398.15,1,398.15,Google Search,Female,25-34,Delhi,Delhi
C0054,728.15,1,2024-06-02,2024-06-02,1,728.15,1,728.15,Google Search,Other,45+,Ahmedabad,Gujarat
C0055,3074.5,2,2024-02-13,2025-05-26,469,1537.25,2,3074.5,Google Search,Other,18-24,Nagpur,Maharashtra
C0056,3315.5,5,2024-01-20,2025-10-13,633,663.1,5,3315.5,Instagram,Other,25-34,Indore,Madhya Pradesh
