cohort,quarters_since,customer_id,cohort_size,retention_pct
2024Q1,0,95,95,100.0
2024Q1,1,23,95,24.21
2024Q1,2,29,95,30.53
2024Q1,3,28,95,29.47
2024Q1,4,22,95,23.16
2024Q1,5,17,95,17.89
2024Q1,6,22,95,23.16
2024Q1,7,19,95,20.0
2024Q2,0,86,86,100.0
2024Q2,1,19,86,22.09
2024Q2,2,21,86,24.42
2024Q2,3,18,86,20.93
2024Q2,4,16,86,18.6
2024Q2,5,14,86,16.28
2024Q2,6,21,86,24.42
2024Q3,0,81,81,100.0
2024Q3,1,22,81,27.16
2024Q3,2,19,81,23.46
2024Q3,3,20,81,24.69
2024Q3,4,14,81,17.28
2024Q3,5,19,81,23.46
2024Q4,0,66,66,100.0
2024Q4,1,16,66,24.24
2024Q4,2,12,66,18.18
2024Q4,3,16,66,24.24
2024Q4,4,17,66,25.76
2025Q1,0,36,36,100.0
2025Q1,1,8,36,22.22
2025Q1,2,11,36,30.56
2025Q1,3,8,36,22.22
2025Q2,0,22,22,100.0
2025Q2,1,7,22,31.82
2025Q2,2,2,22,9.09
2025Q3,0,27,27,100.0
2025Q3,1,5,27,18.52
2025Q4,0,25,25,100.0
