order_item_id,order_id,product_id,quantity,unit_price,discount_pct,item_total,product_name,category,skin_type,mrp,cost_price,gross_margin,margin_pct,real_revenue,real_cost,real_margin,real_margin_pct,order_status,order_date,sales_channel
OI000001,O00001,P023,1,499,15,424.15,Anti-Dandruff Shampoo,Hair Care,Scalp Care,499,221,278,55.71,424.15,221,203.14999999999998,47.9,Delivered,2024-06-10,Mobile App
OI000002,O00002,P020,1,349,0,349.0,Rose Water Hydrating Toner,Toner,All Skin Types,349,139,210,60.17,349.0,139,210.0,60.17,Delivered,2025-02-18,Website
OI000003,O00003,P001,2,549,10,988.2,2% Salicylic Acid Face Serum,Serum,Oily / Acne-Prone,549,247,302,55.01,988.2,494,494.20000000000005,50.01,Delivered,2025-12-03,Website
OI000004,O00003,P002,1,599,20,479.2,10% Niacinamide Face Serum,Serum,Oily / Combination,599,265,334,55.76,479.2,265,214.2,44.7,Delivered,2025-12-03,Website
OI000005,O00004,P009,2,349,5,663.1,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,663.1,290,373.1,56.27,Delivered,2025-08-10,Website
OI000006,O00005,P020,3,349,10,942.3,Rose Water Hydrating Toner,Toner,All Skin Types,349,139,210,60.17,942.3,417,525.3,55.75,Delivered,2025-07-17,Website
OI000007,O00005,P006,1,599,5,569.05,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,569.05,258,311.04999999999995,54.66,Delivered,2025-07-17,Website
OI000008,O00006,P014,1,499,15,424.15,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,424.15,211,213.14999999999998,50.25,Delivered,2025-05-11,Website
OI000013,O00009,P007,1,699,0,699.0,AHA BHA 10% Exfoliating Serum,Serum,Oily / Combination,699,322,377,53.93,699.0,322,377.0,53.93,Delivered,2024-05-25,Mobile App
OI000014,O00010,P004,1,649,0,649.0,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,649.0,292,357.0,55.01,Delivered,2024-05-13,Mobile App
OI000016,O00012,P016,1,299,15,254.15,Salicylic Acid Face Cleanser,Cleanser,Oily / Acne-Prone,299,117,182,60.87,254.15,117,137.15,53.96,Delivered,2025-09-20,Website
OI000017,O00013,P006,1,599,20,479.2,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,479.2,258,221.2,46.16,Delivered,2025-09-18,Website
OI000018,O00013,P028,1,249,15,211.65,Lip Balm SPF 30,Lip Care,All Skin Types,249,92,157,63.05,211.65,92,119.65,56.53,Delivered,2025-09-18,Website
OI000019,O00014,P010,1,399,5,379.05,Vitamin B5 Moisturizer,Moisturizer,All Skin Types,399,162,237,59.4,379.05,162,217.05,57.26,Delivered,2024-03-10,Website
OI000020,O00015,P006,1,599,5,569.05,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,569.05,258,311.04999999999995,54.66,Delivered,2025-12-04,Website
OI000021,O00016,P002,1,599,25,449.25,10% Niacinamide Face Serum,Serum,Oily / Combination,599,265,334,55.76,449.25,265,184.25,41.01,Delivered,2025-05-09,Mobile App
OI000022,O00017,P022,1,499,5,474.05,Multi-Peptide Eye Cream,Eye Care,Mature / Dry,499,218,281,56.31,474.05,218,256.05,54.01,Delivered,2025-07-07,Website
OI000023,O00017,P004,1,649,10,584.1,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,584.1,292,292.1,50.01,Delivered,2025-07-07,Website
OI000024,O00018,P006,1,599,5,569.05,Hyaluronic Acid 2% Serum,Serum,Dry / Dehydrated,599,258,341,56.93,569.05,258,311.04999999999995,54.66,Delivered,2024-03-24,Website
OI000025,O00018,P015,1,449,0,449.0,Aqualogica Lightweight Sunscreen,Sunscreen,Oily / Combination,449,192,257,57.24,449.0,192,257.0,57.24,Delivered,2024-03-24,Website
OI000026,O00018,P009,1,349,5,331.55,Ceramide Moisturizer,Moisturizer,Dry / Sensitive,349,145,204,58.45,331.55,145,186.55,56.27,Delivered,2024-03-24,Website
OI000027,O00019,P014,1,499,10,449.1,SPF 60 PA++++ Sunscreen,Sunscreen,All Skin Types,499,211,288,57.72,449.1,211,238.10000000000002,53.02,Delivered,2025-12-14,Website
OI000028,O00019,P013,2,399,10,718.2,SPF 50 Sunscreen,Sunscreen,All Skin Types,399,168,231,57.89,718.2,336,382.20000000000005,53.22,Delivered,2025-12-14,Website
OI000029,O00019,P022,2,499,10,898.2,Multi-Peptide Eye Cream,Eye Care,Mature / Dry,499,218,281,56.31,898.2,436,462.20000000000005,51.46,Delivered,2025-12-14,Website
OI000030,O00019,P021,1,399,20,319.2,Caffeine Under Eye Cream,Eye Care,All Skin Types,399,157,242,60.65,319.2,157,162.2,50.81,Delivered,2025-12-14,Website
OI000031,O00020,P004,3,649,15,1654.95,Alpha Arbutin 2% Serum,Serum,All Skin Types,649,292,357,55.01,1654.95,876,778.95,47.07,Delivered,2025-06-13,Website
